"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","pooled","Unknown","mtab_webber_cuba_lumos_062018_uplc_12","mtab_webber_cuba_lumos_062018_uplc_31","mtab_webber_cuba_lumos_062018_uplc_37","isotopes","adduct","pcgroup"
"357",224.872552942921,224.872552942921,224.872552942921,37.1486740112305,37.1486740112305,37.1486740112305,1,1,0,142103.182993453,55445.4698719811,4786.66641837638,"","","372"
"358",225.845876612638,225.8457604301,225.84598283784,36.06834500802,35.9609565734863,36.1447792053223,3,1,2,1336413.05356031,989273.298533219,1084815.55349518,"","","17"
"359",225.895767233031,225.89576329255,225.895768759013,386.085418701172,382.137268066406,390.603515625,3,0,1,145683.060323954,60671.3248825894,51034.0653530305,"","","194"
"360",225.895736538766,225.895723042468,225.895750035064,407.4375,405.101196289062,409.773803710938,2,0,1,263877.589076757,44114.1085438132,81215.2539627491,"","","138"
"361",225.895738006609,225.89573401771,225.895741995508,421.84114074707,418.960845947266,424.721435546875,2,0,1,271933.418598096,21946.5873186439,78634.5232994711,"","","507"
"362",225.89581669816,225.89581669816,225.89581669816,398.628540039062,398.628540039062,398.628540039062,1,0,1,163641.194208622,7336.69606415033,59823.3735575165,"","","92"
"363",226.801535888397,226.801535888397,226.801535888397,38.8738021850586,38.8738021850586,38.8738021850586,1,1,0,97146.1104359016,20469.1088975777,1722.48366879579,"","","129"
"364",226.96608516993,226.966052699654,226.966117640206,27.3952067715974,27.3621444702148,27.42826907298,2,1,1,7577503.43854645,8242971.64545382,13432.4871648027,"","","5"
"365",228.159223472674,228.15906776023,228.159231848486,363.559875488281,363.35888671875,364.123516272,3,1,2,381807.924139282,333791.496312541,231355.496653273,"","","463"
"366",228.803701787097,228.803699214913,228.803771048481,33.74602204902,33.6543807983398,33.8206176757812,3,1,2,144592.065133941,127059.053751509,169558.040025448,"","","2"
"367",228.931481825911,228.931374399018,228.931522116265,300.346435546875,299.571197509766,300.96805350498,3,1,2,108755.940389552,61733.660209782,87253.4020708288,"","","188"
"368",228.966470260507,228.962565401654,228.970112053689,27.3952067715974,26.7963485717773,27.42826907298,4,1,1,138089.487183664,159239.391696197,275382.723704063,"","","5"
"369",228.99756288064,228.997441069061,228.997572207706,224.057830810547,223.290176391602,225.225347904,3,1,2,2046681.05773827,1900917.04267396,2583849.13459921,"[26][M]-","","37"
"370",228.977048154213,228.977048154213,228.977048154213,74.51730408102,74.51730408102,74.51730408102,1,0,1,31095.6221605362,52116.2544709742,22632.626521848,"","","93"
"371",228.968018041096,228.968018041096,228.968018041096,454.160696625,454.160696625,454.160696625,1,0,1,11468.9936867693,76191.3837646493,28739.3767743005,"","","441"
"372",229.002391088654,229.0022966926,229.002482712034,35.48334572802,35.3778800964355,35.5566444396973,3,1,2,1325428.0639642,784117.050206284,1683996.06159991,"","","2"
"373",229.071339365941,229.071339365941,229.071339365941,206.819244384766,206.819244384766,206.819244384766,1,1,0,1323480.73064859,797233.631729484,1213848.06303902,"","","435"
"374",229.143198426078,229.143198426078,229.143198426078,407.377746864,407.377746864,407.377746864,1,0,1,137453.344286917,164100.189495821,878.882709383538,"","","495"
"375",229.882062802321,229.881947373775,229.882178230867,36.3470325469971,36.1447792053223,36.5492858886719,2,1,1,1453832.4599678,854953.807637925,920023.578896822,"","[M-H]- 230.889","17"
"376",230.000877926662,230.000751891926,230.000894769588,224.057830810547,223.290176391602,225.225347904,3,1,2,144474.865112591,139714.21180255,178080.358624806,"[26][M+1]-","","37"
"377",230.138435103659,230.138386889964,230.138483317353,353.518707275391,353.390655517578,353.646759033203,2,1,1,101319.402590424,23234.7615426779,113928.539720103,"","","167"
"378",230.101998948076,230.101998948076,230.101998948076,258.815582275391,258.815582275391,258.815582275391,1,1,0,235429.527139976,45061.9552463293,38606.6692614555,"","","112"
"379",230.800990696828,230.800876301613,230.801032326843,33.74602204902,33.6543807983398,33.8206176757812,3,1,2,149653.668453854,143773.517019742,181200.543932121,"","","2"
"380",230.908923763905,230.908923763905,230.908923763905,25.6732368469238,25.6732368469238,25.6732368469238,1,1,0,211665.883717622,174537.47799545,55159.9986413092,"[27][M]-","","1"
"381",230.882805090022,230.882805090022,230.882805090022,36.5492858886719,36.5492858886719,36.5492858886719,1,1,0,457491.425383527,275571.707735655,306621.633168568,"","","17"
"382",231.085896898077,231.085887373666,231.085906422487,243.47477722168,243.473373413086,243.476181030273,2,1,1,1354877.63384806,30692.6169100218,1353588.48537386,"","","50"
"383",231.802763972649,231.802646100978,231.802857862512,33.74602204902,33.6543807983398,33.8206176757812,3,1,2,149032.533440634,134186.52304919,170989.677710536,"","[M+Cl]- 196.826","2"
"384",231.879196020584,231.87905479935,231.879319361484,36.5492858886719,36.1447792053223,36.65597181,3,1,2,898070.461346276,535813.513756288,566092.73629007,"","","17"
"385",231.909267357595,231.909267357595,231.909267357595,25.72179448002,25.72179448002,25.72179448002,1,0,1,7704.28517211237,42734.8353905711,13127.8241363332,"[27][M+1]-","","262"
"386",231.990644966895,231.990644966895,231.990644966895,226.885162353516,226.885162353516,226.885162353516,1,1,0,75866.4866082869,9545.28799429864,15470.8502378762,"","","203"
"387",232.800216204795,232.800215830355,232.80023426938,33.74602204902,33.6543807983398,33.8206176757812,3,1,2,207393.686903578,181790.514979208,236690.168952273,"","","298"
"388",232.924790760836,232.897729705437,232.986770419192,29.1774349212646,23.9813957214355,31.4985580444336,7,1,2,11424043.1174979,149393.534976582,235093.163272549,"","[M+Cl]- 197.955","3"
"389",233.801438923894,233.801384029544,233.801516368529,33.74602204902,33.6543807983398,33.8206176757812,3,1,2,234607.534657641,201426.661649443,263591.902964,"","","299"
"390",233.924200292475,233.825367654954,233.924377018997,31.4985580444336,30.7875881195068,33.169278849,3,1,2,1652218.69552846,169578.695042943,248006.025140509,"","","4"
"391",234.802313462713,234.798173475422,234.802443027675,33.7833198624006,33.6543807983398,34.3986434936523,4,1,2,225887.202970313,218814.602673167,287191.488012796,"","","2"
"392",234.9215562075,234.921400078394,234.929402872098,31.45006364802,30.7875881195068,31.4985580444336,4,1,2,1022125.82752715,92668.0448900938,165168.27479191,"","","4"
"393",235.798616524858,235.798466520785,235.798766528932,33.7002014236799,33.6543807983398,33.74602204902,2,1,1,107403.49464934,124349.830904312,94237.0112462454,"","","2"
"394",236.104084876118,236.103999922793,236.104199434896,450.222076416016,448.717193603516,451.76835044802,3,1,2,111007.379185342,145050.57856239,156334.109514213,"","","149"
"395",236.799333385513,236.79570277744,236.804275522781,33.74602204902,33.6543807983398,33.8206176757812,5,1,2,85156.0068205732,240154.743886588,55782.1808749759,"","","2"
"396",236.968342118099,236.936485083677,236.968456057499,25.6937913894653,23.9813957214355,25.72179448002,4,1,2,1936514.93866718,1545678.85499184,607286.647091802,"","[M-H]- 237.983","1"
"397",236.940227765788,236.940220917402,236.940234614175,228.144345654256,227.480285644531,228.80840566398,2,1,1,183613.168121647,165584.779710877,41133.9986338291,"","","131"
"398",237.013488499431,237.013488499431,237.013488499431,73.3967819213867,73.3967819213867,73.3967819213867,1,1,0,177014.451566414,97854.8854154822,89654.3891100823,"","","472"
"399",237.765109648027,237.765034709214,237.76518458684,33.7374992370605,33.6543807983398,33.8206176757812,2,1,1,244998.265350305,166911.772246353,135587.011780158,"","[M+Cl]- 202.806","2"
"400",237.933790781693,237.933790781693,237.933790781693,36.5492858886719,36.5492858886719,36.5492858886719,1,1,0,56912.3355270533,14875.7839012444,13760.593642503,"","","371"
"401",238.106873410049,238.106873410049,238.106873410049,261.30317160102,261.30317160102,261.30317160102,1,0,1,46358.8480474949,25706.8806368673,19189.2918215862,"","","428"
"402",238.801485290369,238.796362180816,238.801618295887,33.7833198624006,33.6543807983398,33.8206176757812,4,1,2,96988.3297798081,89370.8617668619,72411.1474273183,"","","2"
"403",238.957110884873,238.931693097021,238.964168893097,25.1277210074719,23.9813957214355,29.15574598398,6,1,2,423711.869830946,4940558.20314151,10879482.7211711,"[28][M]-","[M+Cl]- 203.985","1"
"404",239.12750392005,239.127489764112,239.127518075987,467.680824936529,466.229522705078,469.13212716798,2,1,1,130086.888848714,175931.325565422,44447.0955163341,"","","144"
"405",238.996712636806,238.996712636806,238.996712636806,36.7427864074707,36.7427864074707,36.7427864074707,1,0,1,325502.287063701,83304.836061778,222766.050558588,"","","373"
"406",239.76041039034,239.760309909988,239.760514331037,33.74602204902,33.6543807983398,33.8206176757812,3,1,2,4505159.3112642,3411325.64797402,2258679.41052383,"[29][M]-","[M-2H+K]- 202.806","2"
"407",239.960409250607,239.960315584391,239.960502916823,24.2794456481934,23.9813957214355,24.5774955749512,2,1,1,276979.579841301,108250.200461295,336414.52349106,"[28][M+1]-","","1"
"408",240.760934586799,240.760909990585,240.760959183013,33.7833198624006,33.74602204902,33.8206176757812,2,0,2,45501.3405768981,71766.0607122617,39456.5127287975,"[29][M+1]-","","2"
"409",240.938620933369,240.938558698857,240.93868316788,288.748977661133,288.365264892578,289.132690429688,2,1,1,120190.755653377,6527.65168366134,114264.269118266,"","","54"
"410",240.952824899173,240.952619398782,240.96139786997,25.6732368469238,24.5774955749512,25.72179448002,5,1,2,302177.754962673,195974.467709951,682241.510653178,"[28][M+2]-","","1"
"411",241.757968408497,241.757864131697,241.758084315934,33.74602204902,33.6543807983398,33.8206176757812,3,1,2,9137061.93912543,6963547.49915379,4475199.33172202,"[29][M+2]-","","2"
"412",241.913524043342,241.913385029769,241.913663056916,14.0872163772583,13.7969198226929,14.3775129318237,2,1,1,378442.885301609,683312.844188207,1029804.55824923,"","","53"
"413",241.913772662239,241.913772662239,241.913772662239,24.5432071685791,24.5432071685791,24.5432071685791,1,1,0,173527.882131432,153018.708058553,152078.041433842,"","","1"
"414",242.047741439745,242.047678356179,242.047804523311,231.930236816406,231.640197753906,232.220275878906,2,1,1,471297.5764433,74836.7399698496,539091.347423563,"","","459"
"415",241.992741593522,241.992723402903,241.992759784142,285.798965454102,285.417114257812,286.180816650391,2,1,1,193119.785371995,18927.8152849674,168666.108761189,"","","485"
"416",242.174813008272,242.174651355922,242.174849393454,388.36181640625,387.969543457031,389.01301272,3,1,2,3170215.05665385,2845020.40284078,2013165.69002336,"[30][M]-","","28"
"417",242.75852766837,242.75852766837,242.75852766837,33.6543807983398,33.6543807983398,33.6543807983398,1,1,0,139267.686353413,101889.878879533,85891.7750526567,"[29][M+3]-","","2"
"418",242.928458957622,242.928458957622,242.928458957622,324.109008789062,324.109008789062,324.109008789062,1,1,0,187266.373937693,83157.4109018091,127626.395304699,"","","380"
"419",243.01321844023,243.013111824764,243.013257041865,257.727478027344,257.041412353516,258.33491409702,3,1,2,620390.366302326,438654.859203723,645718.173035835,"","","58"
"420",242.941971011285,242.941940006838,242.942002015731,428.29138880949,425.36875869,431.21401892898,2,0,1,99323.3427639913,60823.9845926945,18838.4606584577,"","","226"
"421",242.941940013522,242.941940013522,242.941940013522,419.09702956902,419.09702956902,419.09702956902,1,0,1,56288.9557891447,80461.7439649568,12916.5863077941,"","","216"
