"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","is_filled"
"CP2063",291.93958142285,291.939422607422,291.941436767578,26.28591222402,25.15160094402,28.00450273602,167863.669931486,167861.387610052,153705.890625,153705,2,0
"CP2066",292.958279515435,292.958190917969,292.958343505859,25.72179448002,23.41173568002,28.00450273602,4758295.37712647,4758291.35845529,2732016.5,2732016,2,0
"CP2069",294.880141375277,294.880096435547,294.880218505859,26.28591222402,24.00615312,28.00450273602,336266.965953408,336263.538796595,212808.640625,212808,2,0
"CP2070",294.926903979054,294.926818847656,294.927154541016,26.28591222402,24.58220516802,28.00450273602,81965.9206031657,81963.0686885257,63506.94140625,63506,2,0
"CP2071",296.876845434872,296.873046875,296.877349853516,25.72179448002,22.84974622398,28.00450273602,160879.379668026,160001.870406958,88228.3046875,129,2,0
"CP2072",297.878040894844,297.877807617188,297.878387451172,26.28591222402,24.58220516802,28.00450273602,106208.263954141,106205.412039501,85038.53125,85038,2,0
"CP2073",302.913661642981,302.913543701172,302.913757324219,26.28591222402,24.00615312,28.00450273602,381013.254006118,381009.826849304,241800.578125,241800,2,0
"CP2074",305.909484186857,305.909118652344,305.909912109375,26.28591222402,24.00615312,28.58162761602,817558.249050296,817462.784957673,584580.375,2812,2,0
"CP2075",307.907064611216,307.906921386719,307.907104492188,26.28591222402,24.00615312,28.00450273602,1237423.94291809,1237420.51576127,851806.6875,851806,2,0
"CP2076",308.863964684648,308.863861083984,308.864105224609,26.28591222402,25.15160094402,28.00450273602,59029.5854436481,59027.3031222145,41249.0625,41248,2,0
"CP2079",317.917351650633,317.917083740234,317.917602539062,25.72179448002,23.41173568002,28.00450273602,174912.221624269,174794.192561489,68896.6484375,269,2,0
"CP2080",321.890092942048,321.889831542969,321.890533447266,26.28591222402,25.15160094402,28.58162761602,56337.6024596737,56273.7392500506,32411.63671875,166,2,0
"CP2082",324.942619324154,324.942535400391,324.942749023438,25.15160094402,22.288996161,28.00450273602,1050540.7143566,1044749.46003061,707827.625,253,2,0
"CP2084",332.938307862867,332.938232421875,332.938507080078,25.72179448002,23.41173568002,28.00450273602,7066000.96229215,7065996.94362098,5278330.5,5278330,2,0
"CP2085",333.938955855153,333.938781738281,333.938995361328,25.72179448002,24.00615312,28.00450273602,1664036.14641986,1664032.71926305,1249088.875,1249088,2,0
