"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","pooled","Unknown","mtab_webber_cuba_lumos_062018_uplc_12","mtab_webber_cuba_lumos_062018_uplc_13","mtab_webber_cuba_lumos_062018_uplc_14","mtab_webber_cuba_lumos_062018_uplc_15","mtab_webber_cuba_lumos_062018_uplc_19","mtab_webber_cuba_lumos_062018_uplc_26","mtab_webber_cuba_lumos_062018_uplc_31","mtab_webber_cuba_lumos_062018_uplc_37","isotopes","adduct","pcgroup"
"562",240.902195512615,240.902096280113,240.902398562796,257.660929154971,257.287628173828,258.005981445312,4,2,2,105807.380912889,135196.702184105,64205.9913720778,70452.9226973712,74315.6378281936,77583.8748821363,85925.7934017181,69328.8150458614,"","","59"
"563",240.903707877876,240.903707877876,240.903707877876,206.087814331055,206.087814331055,206.087814331055,1,0,1,5798.79901237786,65196.4030188024,31170.6617879942,12676.5665517412,15328.7725079209,33306.3326335251,16569.4458745746,35939.4848858714,"","","639"
"564",240.938558698857,240.938443313429,240.93868316788,289.094024658203,289.06689453125,289.623748779297,3,1,2,120190.755653377,160610.707787575,35677.2944565296,101756.702569711,46950.0732639313,48330.6887434959,6480.13765082359,114264.269118266,"","","608"
"565",240.957939161406,240.957939161406,240.957939161406,123.597694896,123.597694896,123.597694896,1,0,1,17257.726618971,27505.6231663113,3922.5453973375,46476.2833600791,34351.8824278913,3056.01794150428,11064.56036205,54939.6361856982,"","","334"
"566",240.9569863293,240.952619398782,240.961438468319,25.4157476425171,24.5643043518066,25.8136425018311,14,3,5,302177.754962673,359045.40217891,190858.457778101,334116.833961897,287804.553679054,143991.600906503,108013.012328872,682241.510653178,"[37][M+4]-","","1"
"567",240.938715265642,240.938685464978,240.938745066306,257.954325151065,257.935394287109,257.97325601502,2,1,1,283927.495663456,311303.467443657,23752.4482501004,201522.047041297,178111.914323093,44380.4602625344,58603.8063663188,202659.93302536,"","","597"
"568",241.082764834019,241.082764834019,241.082764834019,184.670486450195,184.670486450195,184.670486450195,1,0,1,106411.302445255,28475.618248306,95286.2479647025,95841.1100670611,67020.302806288,7609.26575824618,5371.5139246136,97116.9084281847,"","","252"
"569",241.75803446279,241.757864131697,241.758099430488,33.7859439849854,33.5971298217773,33.9239807128906,8,3,5,9137061.93912543,10114053.9975918,7617508.04444689,10241651.4512642,7397410.78893179,6935302.66097325,6963547.49915379,4475199.33172202,"[38][M]-","[M-2H+K]- 204.808","2"
"570",241.913604758088,241.913385029769,241.913663056916,14.4016304016113,13.7695293426514,14.4493160247803,3,2,1,378442.885301609,355160.77177429,425795.295151802,620638.312991459,663038.683945348,760669.859985344,2629.50845736032,1029804.55824923,"","","625"
"571",241.992759784142,241.992436412244,241.992828014091,286.163909912109,286.133819580078,286.695709228516,5,2,3,193119.785371995,241548.100113988,204253.840483985,198541.479785595,178181.088123094,195885.48222575,9519.21784586566,168666.108761189,"","","144"
"572",242.047808615235,242.047678356179,242.047844392867,233.147521972656,232.537704467773,233.16773099202,5,2,3,471297.5764433,3580.41461116714,680593.953460419,479277.43330277,366297.136264284,365106.445801902,66863.0126422644,539091.347423563,"","","95"
"573",241.913772662239,241.913772662239,241.913772662239,24.4997367858887,24.4997367858887,24.4997367858887,1,1,0,173527.882131432,182800.578234918,137663.013750874,218659.330159023,145800.087564372,157973.810751364,152783.617324471,152296.171068103,"","","1"
"574",242.174779536443,242.174501147082,242.174849393454,389.118403578123,388.434844970703,390.3349609375,8,3,5,3170215.05665385,5266463.11208719,2209002.15583999,1957543.692287,2670395.12615422,2615371.60395961,2845020.40284078,2013165.69002336,"[39][M]-","","24"
"575",242.75852766837,242.758434393747,242.758701112674,33.73214664,33.5971298217773,33.8522720336914,5,3,2,139267.686353413,118727.331742965,111401.842423976,169636.482998366,110323.558963596,112284.073789064,99540.1485780747,83910.9845295286,"[38][M+1]-","","2"
"576",242.928425145123,242.928343233441,242.928475693663,324.156877304677,324.109954833984,324.731170654297,4,2,2,187266.373937693,154079.619078279,135127.735597627,139890.948837356,153380.536368224,62199.0865592591,60525.3656816435,144679.536285267,"","","19"
"577",243.013184608868,243.012957417694,243.013257041865,257.951141357422,257.877014160156,259.127899169922,7,2,5,620390.366302326,1342404.35386682,670528.478794054,603103.645391925,564100.17701297,151904.892128131,438654.859203723,645718.173035835,"[40][M]-","","59"
"578",242.941971011285,242.941940006838,242.942002015731,430.512069702148,427.547668457031,433.476470947266,2,0,1,99396.3558723927,16824.8350682259,116801.784448773,99735.2802706411,78392.0700755119,7803.51585682233,60823.9845926945,24063.3418949942,"","","293"
"579",242.941940013522,242.941940013522,242.941940013522,421.158050537109,421.158050537109,421.158050537109,1,0,1,68970.6836724281,359060.6856486,99951.072550118,66216.9986648262,73654.7103817761,8893.87228295207,80461.7439649568,13180.4820621014,"","","212"
"580",242.942043962465,242.942043962465,242.942043962465,414.018218994141,414.018218994141,414.018218994141,1,0,1,61582.7201104537,277651.473995,75874.201290682,76786.1677441852,32009.4177704411,9494.86189527171,68309.1030967201,140385.668239934,"","","171"
"581",242.971805847243,242.971805847243,242.971805847243,272.598663330078,272.598663330078,272.598663330078,1,0,1,66876.7281749725,83327.667794485,13020.9737781286,59707.756716097,46695.5038369,26681.3686330318,49180.0362029672,15208.9550149441,"","","545"
"582",242.943658162848,242.943459046793,242.981752909248,27.7753992080688,27.3143424987793,34.9172668457031,10,3,5,3117445.60458352,3388461.77599669,2924540.26659824,3570499.97817516,3440491.69727592,3184101.34752476,3536191.45291005,2765115.27463176,"[41][M]-","","8"
